point,available_date,prediction_date,wind_speed_100m,wind_direction_100m,temperature,air_density,pressure,precipitation,wind_gust,radiation,wind_speed,wind_direction
1,2016-02-19 06:00:00,2016-02-20 00:00:00,2.8,182.3,3.4,1.21,962.8,0.3,2.2,0.0,1.6,170.8
1,2016-02-19 06:00:00,2016-02-20 01:00:00,2.6,183.2,3.8,1.21,962.9,0.3,2.1,0.0,1.5,171.2
1,2016-02-19 06:00:00,2016-02-20 02:00:00,2.5,184.1,4.2,1.21,963.0,0.3,2.0,0.0,1.4,171.7
1,2016-02-19 06:00:00,2016-02-20 03:00:00,2.3,185.0,4.6,1.21,963.1,0.3,1.9,0.0,1.3,172.1
1,2016-02-19 06:00:00,2016-02-20 04:00:00,2.0,175.6,4.4,1.21,963.2,0.3,1.8,0.0,1.2,164.3
1,2016-02-19 06:00:00,2016-02-20 05:00:00,1.8,166.2,4.2,1.21,963.3,0.3,1.6,0.0,1.1,156.5
1,2016-02-19 06:00:00,2016-02-20 06:00:00,1.5,156.8,4.1,1.21,963.4,0.3,1.5,0.0,1.0,148.7
1,2016-02-19 06:00:00,2016-02-20 07:00:00,1.4,143.4,5.1,1.21,963.7,0.3,1.4,4.3,1.0,141.1
1,2016-02-19 06:00:00,2016-02-20 08:00:00,1.3,130.0,6.2,1.2,964.0,0.3,1.2,13.1,1.0,133.6
1,2016-02-19 06:00:00,2016-02-20 09:00:00,1.1,116.6,7.2,1.2,964.3,0.3,1.1,30.0,0.9,126.1
1,2016-02-19 06:00:00,2016-02-20 10:00:00,1.3,92.1,9.5,1.19,964.4,0.3,1.4,58.8,1.0,97.8
1,2016-02-19 06:00:00,2016-02-20 11:00:00,1.5,67.7,11.8,1.18,964.5,0.3,1.8,103.7,1.1,69.4
1,2016-02-19 06:00:00,2016-02-20 12:00:00,1.6,43.3,14.1,1.17,964.6,0.3,2.1,169.0,1.1,41.0
1,2016-02-19 06:00:00,2016-02-20 13:00:00,2.3,32.4,13.7,1.17,964.1,0.3,2.6,253.5,1.5,30.1
1,2016-02-19 06:00:00,2016-02-20 14:00:00,2.9,21.5,13.3,1.17,963.6,0.3,3.0,333.6,1.9,19.2
1,2016-02-19 06:00:00,2016-02-20 15:00:00,3.5,10.7,12.9,1.17,963.1,0.3,3.5,380.0,2.3,8.3
1,2016-02-19 06:00:00,2016-02-20 16:00:00,4.0,16.0,11.4,1.18,962.9,0.3,3.2,371.3,2.2,13.0
1,2016-02-19 06:00:00,2016-02-20 17:00:00,4.4,21.3,9.9,1.19,962.7,0.3,3.0,317.1,2.1,17.7
1,2016-02-19 06:00:00,2016-02-20 18:00:00,4.8,26.7,8.4,1.19,962.5,0.3,2.7,235.0,2.0,22.4
1,2016-02-19 06:00:00,2016-02-20 19:00:00,4.7,34.8,7.4,1.2,962.5,0.3,2.7,142.6,1.9,32.7
1,2016-02-19 06:00:00,2016-02-20 20:00:00,4.6,43.0,6.4,1.2,962.5,0.3,2.6,58.1,1.9,42.9
1,2016-02-19 06:00:00,2016-02-20 21:00:00,4.5,51.1,5.4,1.2,962.6,0.3,2.6,0.0,1.8,53.1
1,2016-02-19 06:00:00,2016-02-20 22:00:00,4.0,56.2,4.7,1.21,962.4,0.3,2.5,0.0,1.7,57.3
1,2016-02-19 06:00:00,2016-02-20 23:00:00,3.5,61.4,4.1,1.21,962.2,0.3,2.3,0.0,1.6,61.5
1,2016-02-19 06:00:00,2016-02-21 00:00:00,3.1,66.5,3.5,1.21,962.1,0.3,2.2,0.0,1.5,65.6
1,2016-02-19 06:00:00,2016-02-21 01:00:00,3.0,72.5,3.3,1.21,961.5,0.3,2.2,0.0,1.5,71.7
1,2016-02-19 06:00:00,2016-02-21 02:00:00,2.8,78.4,3.1,1.21,960.9,0.3,2.1,0.0,1.5,77.7
1,2016-02-19 06:00:00,2016-02-21 03:00:00,2.7,84.3,3.0,1.21,960.3,0.3,2.1,0.0,1.5,83.7
1,2016-02-19 06:00:00,2016-02-21 04:00:00,2.8,88.5,2.9,1.21,959.9,0.3,2.1,0.0,1.5,87.1
1,2016-02-19 06:00:00,2016-02-21 05:00:00,2.8,92.7,2.8,1.21,959.5,0.3,2.2,0.0,1.6,90.6
1,2016-02-19 06:00:00,2016-02-21 06:00:00,2.9,97.0,2.7,1.21,959.0,0.3,2.2,0.0,1.6,94.0
1,2016-02-19 06:00:00,2016-02-21 07:00:00,2.8,93.1,3.9,1.21,958.7,0.3,2.0,7.9,1.5,90.1
1,2016-02-19 06:00:00,2016-02-21 08:00:00,2.8,89.2,5.1,1.2,958.5,0.3,1.8,23.4,1.5,86.2
1,2016-02-19 06:00:00,2016-02-21 09:00:00,2.7,85.3,6.2,1.19,958.2,0.3,1.6,50.0,1.4,82.4
1,2016-02-19 06:00:00,2016-02-21 10:00:00,2.5,98.8,8.7,1.18,958.0,0.3,1.8,91.9,1.4,96.1
1,2016-02-19 06:00:00,2016-02-21 11:00:00,2.3,112.2,11.1,1.17,957.8,0.3,2.0,156.2,1.4,109.8
