<<<<<<< HEAD
point,available_date,prediction_date,wind_speed_100m,wind_direction_100m,temperature,air_density,pressure,precipitation,wind_gust,radiation,wind_speed,wind_direction
1,2016-04-06 06:00:00,2016-04-07 00:00:00,6.6,29.6,6.4,1.19,957.0,0.0,8.8,0.0,3.3,26.9
1,2016-04-06 06:00:00,2016-04-07 01:00:00,6.5,29.5,5.4,1.2,956.9,0.0,8.5,0.0,2.9,26.3
1,2016-04-06 06:00:00,2016-04-07 02:00:00,6.5,29.4,4.5,1.2,956.7,0.0,8.3,0.0,2.6,25.8
1,2016-04-06 06:00:00,2016-04-07 03:00:00,6.4,29.3,3.6,1.2,956.5,0.0,8.0,0.0,2.3,25.2
1,2016-04-06 06:00:00,2016-04-07 04:00:00,6.3,29.5,3.4,1.21,956.8,0.0,8.3,0.0,2.3,26.8
1,2016-04-06 06:00:00,2016-04-07 05:00:00,6.3,29.7,3.3,1.21,957.1,0.0,8.6,0.0,2.4,28.4
1,2016-04-06 06:00:00,2016-04-07 06:00:00,6.2,30.0,3.2,1.21,957.4,0.0,8.9,0.0,2.4,30.0
1,2016-04-06 06:00:00,2016-04-07 07:00:00,6.1,29.3,4.8,1.2,957.6,0.0,8.0,59.3,2.8,28.9
1,2016-04-06 06:00:00,2016-04-07 08:00:00,5.9,28.7,6.4,1.19,957.8,0.0,7.1,132.6,3.2,27.8
1,2016-04-06 06:00:00,2016-04-07 09:00:00,5.8,28.1,8.1,1.19,958.1,0.0,6.2,190.0,3.7,26.8
1,2016-04-06 06:00:00,2016-04-07 10:00:00,5.7,23.9,8.9,1.18,958.0,0.0,6.0,212.9,3.7,22.4
1,2016-04-06 06:00:00,2016-04-07 11:00:00,5.6,19.7,9.7,1.18,957.9,0.0,5.7,228.2,3.7,18.1
1,2016-04-06 06:00:00,2016-04-07 12:00:00,5.5,15.5,10.5,1.18,957.9,0.0,5.5,274.0,3.7,13.7
1,2016-04-06 06:00:00,2016-04-07 13:00:00,5.8,11.5,10.6,1.18,957.6,0.0,5.6,374.3,3.9,9.8
1,2016-04-06 06:00:00,2016-04-07 14:00:00,6.0,7.5,10.6,1.18,957.3,0.0,5.7,495.6,4.0,5.9
1,2016-04-06 06:00:00,2016-04-07 15:00:00,6.3,3.5,10.7,1.17,956.9,0.0,5.8,590.0,4.2,2.0
1,2016-04-06 06:00:00,2016-04-07 16:00:00,6.4,2.7,9.7,1.18,956.9,0.0,6.0,618.6,4.1,121.3
1,2016-04-06 06:00:00,2016-04-07 17:00:00,6.5,2.0,8.7,1.18,956.8,0.0,6.3,577.3,4.0,240.6
1,2016-04-06 06:00:00,2016-04-07 18:00:00,6.6,1.2,7.7,1.19,956.8,0.0,6.5,471.0,3.9,359.9
1,2016-04-06 06:00:00,2016-04-07 19:00:00,6.0,3.4,6.2,1.19,957.1,0.0,6.0,312.3,3.2,241.5
1,2016-04-06 06:00:00,2016-04-07 20:00:00,5.4,5.5,4.8,1.2,957.5,0.0,5.4,144.8,2.6,123.2
1,2016-04-06 06:00:00,2016-04-07 21:00:00,4.7,7.7,3.4,1.21,957.8,0.0,4.9,20.0,1.9,4.9
1,2016-04-06 06:00:00,2016-04-07 22:00:00,4.2,7.9,3.2,1.21,957.5,0.0,4.1,0.0,1.6,6.8
1,2016-04-06 06:00:00,2016-04-07 23:00:00,3.7,8.0,3.0,1.21,957.1,0.0,3.3,0.0,1.4,8.7
1,2016-04-06 06:00:00,2016-04-08 00:00:00,3.2,8.2,2.9,1.21,956.7,0.0,2.5,0.0,1.2,10.6
1,2016-04-06 06:00:00,2016-04-08 01:00:00,3.0,117.6,2.3,1.21,956.4,0.0,2.2,0.0,1.1,115.5
1,2016-04-06 06:00:00,2016-04-08 02:00:00,2.9,227.0,1.7,1.21,956.0,0.0,1.9,0.0,1.1,220.4
1,2016-04-06 06:00:00,2016-04-08 03:00:00,2.7,336.4,1.2,1.21,955.6,0.0,1.6,0.0,1.0,325.3
1,2016-04-06 06:00:00,2016-04-08 04:00:00,2.3,323.3,0.8,1.21,955.3,0.0,1.5,0.0,0.9,305.2
1,2016-04-06 06:00:00,2016-04-08 05:00:00,2.0,310.3,0.5,1.22,955.1,0.0,1.4,0.0,0.9,285.0
1,2016-04-06 06:00:00,2016-04-08 06:00:00,1.7,297.2,0.2,1.22,954.8,0.0,1.3,0.0,0.8,264.9
1,2016-04-06 06:00:00,2016-04-08 07:00:00,2.2,297.0,2.5,1.21,954.9,0.0,2.2,25.9,1.2,274.6
1,2016-04-06 06:00:00,2016-04-08 08:00:00,2.7,296.8,4.8,1.2,955.0,0.0,3.0,61.6,1.6,284.2
1,2016-04-06 06:00:00,2016-04-08 09:00:00,3.2,296.6,7.2,1.19,955.1,0.0,3.9,100.0,2.0,293.9
1,2016-04-06 06:00:00,2016-04-08 10:00:00,3.4,292.5,8.0,1.18,954.8,0.0,4.0,134.5,2.2,290.6
1,2016-04-06 06:00:00,2016-04-08 11:00:00,3.7,288.4,8.8,1.18,954.5,0.0,4.0,161.5,2.4,287.3
1,2016-04-06 06:00:00,2016-04-08 12:00:00,3.9,284.3,9.6,1.18,954.2,0.0,4.1,178.0,2.6,283.9
1,2016-04-06 06:00:00,2016-04-08 13:00:00,4.3,278.3,9.4,1.18,953.7,0.0,4.5,182.8,2.8,277.8
1,2016-04-06 06:00:00,2016-04-08 14:00:00,4.6,272.2,9.2,1.18,953.2,0.0,4.9,181.2,2.9,271.7
1,2016-04-06 06:00:00,2016-04-08 15:00:00,5.0,266.2,9.1,1.18,952.8,0.0,5.3,180.0,3.1,265.6
1,2016-04-06 06:00:00,2016-04-08 16:00:00,5.4,259.9,8.9,1.18,952.3,0.0,5.8,182.6,3.2,259.2
1,2016-04-06 06:00:00,2016-04-08 17:00:00,5.9,253.6,8.8,1.18,951.8,0.0,6.4,179.1,3.3,252.9
1,2016-04-06 06:00:00,2016-04-08 18:00:00,6.3,247.3,8.7,1.18,951.3,0.0,6.9,156.0,3.4,246.5
1,2016-04-06 06:00:00,2016-04-08 19:00:00,6.8,240.5,8.0,1.18,951.2,0.0,8.3,106.0,3.4,238.4
1,2016-04-06 06:00:00,2016-04-08 20:00:00,7.2,233.8,7.3,1.18,951.1,0.0,9.7,46.2,3.4,230.2
