OMIE - Mercado de electricidad;Fecha Emisión :13/03/2016 - 13:20;;14/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  25,10;  21,67;  20,22;  19,99;  20,36;  23,76;  31,82;  35,43;  39,93;  40,19;  40,14;  39,90;  39,93;  39,75;  39,40;  38,90;  38,90;  38,84;  39,90;  51,00;  59,81;  53,04;  41,50;  37,50;
Precio marginal en el sistema portugués (EUR/MWh);  25,10;  21,67;  20,48;  19,99;  20,36;  23,76;  31,82;  35,43;  38,91;  38,91;  40,14;  39,90;  39,93;  39,75;  39,40;  38,90;  38,90;  38,84;  39,90;  51,00;  59,81;  53,04;  41,50;  37,50;
Energía total de compra sistema español (MWh);  17564,5;  16680,1;  15742,1;  15421,7;  15174,4;  15097,7;  17333,8;  20149,6;  22523,6;  23914,2;  24514,8;  24275,3;  24076,1;  24042,8;  23234,1;  22443,3;  21911,3;  21637,4;  21641,5;  23203,6;  23584,3;  23723,2;  22762,5;  20274,8;
Energía total de venta sistema español (MWh);  15637,6;  15031,9;  14525,6;  14014,3;  13592,0;  13360,7;  14176,2;  17053,0;  18523,6;  19914,2;  20828,4;  20989,3;  21036,2;  21091,2;  20961,6;  20627,0;  20131,6;  19448,6;  18876,4;  19779,8;  20347,8;  20174,4;  19387,1;  18118,8;
Energía total de compra sistema portugués (MWh);   5146,7;   4751,1;   4657,4;   4486,4;   4421,6;   4179,3;   4250,6;   4529,3;   5205,2;   6151,8;   6658,4;   6823,6;   6939,5;   6782,8;   6644,3;   6723,0;   6649,3;   6572,5;   6410,1;   6550,8;   6924,2;   6804,7;   6553,4;   6293,8;
Energía total de venta sistema portugués (MWh);   4373,6;   3699,3;   3257,4;   3510,2;   3736,5;   4771,7;   5737,9;   6134,2;   7505,2;   8451,8;   8644,8;   8409,6;   8279,4;   8034,4;   7216,8;   6839,3;   6729,0;   7061,3;   7475,2;   8274,6;   8460,7;   8653,5;   8228,8;   6849,8;
Energía total del mercado Ibérico (MWh);  22711,2;  21431,2;  20399,5;  19908,1;  19596,0;  19277,0;  21584,4;  24678,9;  27728,8;  30066,0;  31173,2;  31098,9;  31015,6;  30825,6;  29878,4;  29166,3;  28560,6;  28209,9;  28051,6;  29754,4;  30508,5;  30527,9;  29315,9;  26568,6;
Energía total con bilaterales del mercado Ibérico (MWh);  30975,3;  29276,7;  27994,8;  27381,2;  27075,4;  26883,8;  29711,7;  33687,4;  37294,8;  39988,9;  41337,6;  41247,9;  41155,2;  40909,4;  39611,9;  38714,0;  38014,0;  37613,3;  37570,7;  39883,8;  41009,2;  40945,6;  38925,2;  35465,9;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;    592,4;   1487,3;   1604,9;   2300,0;   2300,0;   1986,4;   1586,0;   1339,9;   1251,6;    572,5;    116,3;     79,7;    488,8;   1065,1;   1723,8;   1536,5;   1848,8;   1675,4;    556,0;
Exportación de España a Portugal (MWh);    773,1;   1051,8;   1400,0;    976,2;    685,1;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
