OMIE - Mercado de electricidad;Fecha Emisión :26/03/2016 - 13:20;;27/03/2016;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;
Precio marginal en el sistema español (EUR/MWh);  18,69;   9,20;   8,56;   6,69;   6,50;   6,50;   8,22;  10,00;  13,69;  17,73;  15,00;  12,40;  11,30;   9,05;   5,98;   5,56;   6,49;  14,94;  19,45;  24,69;  28,78;  26,40;  19,00;
Precio marginal en el sistema portugués (EUR/MWh);  18,69;  12,38;  12,38;  12,48;  12,48;  11,69;   8,22;  10,00;  13,69;  17,73;  15,00;  12,40;  11,69;   9,05;   5,98;   5,56;   6,49;  14,94;  19,45;  24,69;  28,78;  26,40;  19,00;
Energía total de compra sistema español (MWh);  19730,0;  18447,1;  17077,6;  17268,9;  17252,8;  17453,8;  17107,9;  17644,1;  18850,5;  20080,0;  20611,8;  20625,9;  21076,4;  21214,5;  20908,7;  20428,3;  19867,2;  19130,5;  19824,0;  21529,7;  21975,0;  21491,1;  20661,6;
Energía total de venta sistema español (MWh);  18454,1;  17706,8;  17482,5;  16807,2;  16584,6;  16153,8;  16466,4;  16585,0;  17279,1;  18666,4;  19487,9;  20072,5;  20576,4;  20493,9;  20069,3;  20064,0;  19524,3;  20068,0;  19724,4;  19188,2;  19157,2;  18804,4;  18557,2;
Energía total de compra sistema portugués (MWh);   4789,9;   5150,9;   4569,9;   4530,0;   4470,0;   4482,1;   4525,0;   4635,5;   4327,2;   4596,2;   5054,9;   5713,8;   5908,5;   5848,4;   5655,3;   5533,7;   5442,2;   4905,9;   4774,5;   5225,9;   5403,8;   5291,9;   5074,1;
Energía total de venta sistema portugués (MWh);   3865,8;   3500,9;   3469,9;   3430,0;   3370,0;   3282,1;   3185,5;   3194,6;   3398,6;   3509,8;   3678,8;   3767,2;   3908,5;   4069,0;   3994,7;   4110,5;   4162,8;   4197,0;   4392,3;   5367,4;   6021,6;   5778,6;   4978,5;
Energía total del mercado Ibérico (MWh);  24519,9;  23598,0;  21647,5;  21798,9;  21722,8;  21935,9;  21632,9;  22279,6;  23177,7;  24676,2;  25666,7;  26339,7;  26984,9;  27062,9;  26564,0;  25962,0;  25309,4;  24036,4;  24598,5;  26755,6;  27378,8;  26783,0;  25735,7;
Energía total con bilaterales del mercado Ibérico (MWh);  30532,9;  29209,9;  26821,4;  26853,3;  26782,2;  27049,7;  26693,4;  27443,1;  28811,7;  30710,8;  31961,9;  32604,7;  33294,8;  33339,3;  32515,0;  31692,9;  30942,2;  29752,6;  30892,6;  33451,5;  34112,5;  33574,3;  32047,1;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    141,5;    617,8;    486,7;      0,0;
Exportación de España a Portugal (MWh);    924,1;   1650,0;   1100,0;   1100,0;   1100,0;   1200,0;   1339,5;   1440,9;    928,6;   1086,4;   1376,1;   1946,6;   2000,0;   1779,4;   1660,6;   1423,2;   1279,4;    708,9;    382,2;      0,0;      0,0;      0,0;     95,6;
;;;;;;;;;;;;;;;;;;;;;;;;
