DATA,SESSAO,HORA,PRECO_PT,PRECO_ES
1/08/2015,0,1,49,49
1/08/2015,0,2,46.86,46.86
1/08/2015,0,3,45.68,45.68
1/08/2015,0,4,44.99,44.99
1/08/2015,0,5,44.81,44.81
1/08/2015,0,6,44.68,44.68
1/08/2015,0,7,44.81,44.81
1/08/2015,0,8,44.81,44.81
1/08/2015,0,9,46.85,46.85
1/08/2015,0,10,49,49
1/08/2015,0,11,54.36,54.36
1/08/2015,0,12,61.98,61.98
1/08/2015,0,13,62.47,62.47
1/08/2015,0,14,62.93,62.93
1/08/2015,0,15,61.98,61.98
1/08/2015,0,16,57.48,57.48
1/08/2015,0,17,54.38,54.38
1/08/2015,0,18,54.36,54.36
1/08/2015,0,19,52.04,52.04
1/08/2015,0,20,54.38,54.38
1/08/2015,0,21,60.33,60.33
1/08/2015,0,22,66,66
1/08/2015,0,23,63.6,63.6
1/08/2015,0,24,55.5,55.5
1/08/2015,1,1,49,49
1/08/2015,1,2,47,47
1/08/2015,1,3,45.78,45.78
1/08/2015,1,4,44.99,44.99
1/08/2015,1,5,46.68,46.68
1/08/2015,1,6,46.55,46.55
1/08/2015,1,7,46.57,46.57
1/08/2015,1,8,44.11,44.11
1/08/2015,1,9,46.85,46.85
1/08/2015,1,10,49,49
1/08/2015,1,11,54.36,54.36
1/08/2015,1,12,60.02,60.02
1/08/2015,1,13,62.08,62.08
1/08/2015,1,14,62.51,62.51
1/08/2015,1,15,60.01,60.01
1/08/2015,1,16,57.06,57.06
1/08/2015,1,17,54.38,54.38
1/08/2015,1,18,54.36,54.36
1/08/2015,1,19,53.15,53.15
1/08/2015,1,20,55.06,55.06
1/08/2015,1,21,59.53,59.53
1/08/2015,1,22,66.5,66.5
1/08/2015,1,23,64.24,64.24
1/08/2015,1,24,55.6,55.6
1/08/2015,2,1,42.49,42.49
1/08/2015,2,2,46.69,46.69
1/08/2015,2,3,45.44,45.44
1/08/2015,2,4,42.3,42.3
1/08/2015,2,5,47,47
1/08/2015,2,6,46.91,46.91
1/08/2015,2,7,44.9,44.9
1/08/2015,2,8,42.71,42.71
1/08/2015,2,9,43.99,43.99
1/08/2015,2,10,45,45
1/08/2015,2,11,52.77,52.77
1/08/2015,2,12,60.4,60.4
1/08/2015,2,13,61.69,61.69
1/08/2015,2,14,62.12,62.12
1/08/2015,2,15,60.4,60.4
1/08/2015,2,16,55.97,55.97
1/08/2015,2,17,53.28,53.28
1/08/2015,2,18,53,53
1/08/2015,2,19,53.6,53.6
1/08/2015,2,20,54.72,54.72
1/08/2015,2,21,58.79,58.79
1/08/2015,2,22,66,66
1/08/2015,2,23,63.54,63.54
1/08/2015,2,24,55.5,55.5
1/08/2015,3,5,39,39
1/08/2015,3,6,39,39
1/08/2015,3,7,39,39
1/08/2015,3,8,40.81,40.81
1/08/2015,3,9,42.24,42.24
1/08/2015,3,10,43,43
1/08/2015,3,11,53,53
1/08/2015,3,12,59.26,59.26
1/08/2015,3,13,60,60
1/08/2015,3,14,60,60
1/08/2015,3,15,60,60
1/08/2015,3,16,51.97,51.97
1/08/2015,3,17,51.15,51.15
1/08/2015,3,18,51.15,51.15
1/08/2015,3,19,52.04,52.04
1/08/2015,3,20,53.7,53.7
1/08/2015,3,21,58.33,58.33
1/08/2015,3,22,66,66
1/08/2015,3,23,63.15,63.15
1/08/2015,3,24,54.52,54.52
1/08/2015,4,8,38.55,38.55
1/08/2015,4,9,43.22,43.22
1/08/2015,4,10,43.02,43.02
